Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
947204,K's Deli & Grocery,3950 Leary Way NW,,Seattle,WA,98107,5049,KING,Convenience Store,47.655231,-122.36108,,,-13621173.118515009,6049688.0228790045
1290705,7-eleven 39835a,26220 116th Ave SE,Ste 201,Kent,WA,98030,8663,KING,Convenience Store,47.366035,-122.18668,,,-13601758.999320665,6002026.30638568
1290364,Altha's Louisiana Cajun Seasoning & Spices,201 E Meeker St,,Kent,WA,98032,5946,KING,Other,47.381653,-122.232,,,-13606803.998643415,6004593.579257112
902750,Target Store T-0339,4053 Factoria Square Mall SE,,Bellevue,WA,98006,1286,KING,Super Store,47.573769,-122.17352,,,-13600294.034821825,6036235.86047591
902754,Target Store T-0681,26301 104th Ave SE,,Kent,WA,98030,7649,KING,Super Store,47.36541,-122.20228,,,-13603495.58337704,6001923.585264527
902763,Target Store T-1284,302 NE Northgate Way,,Seattle,WA,98125,6047,KING,Super Store,47.709122,-122.32468,,,-13617121.089050137,6058598.807415838
923570,Costco Wholesale 1029,27520 Covington Way SE,,Covington,WA,98042,9100,KING,Super Store,47.355381,-122.12187,,,-13594544.383122351,6000275.447492047
923366,Jacksons Food Stores 618,15606 NE Woodinville Duvall Pl,,Woodinville,WA,98072,    ,KING,Convenience Store,47.762058,-122.13061,,,-13595517.315471886,6067360.659192923
923397,Jacksons Food Stores 619,12221 NE 124th St,,Kirkland,WA,98034,8214,KING,Convenience Store,47.708851,-122.17758,,,-13600745.991954446,6058553.974990537
923404,Jacksons Food Stores 631,13138 Interurban Ave S,,Tukwila,WA,98168,3324,KING,Convenience Store,47.485119,-122.27154,,,-13611205.571309382,6021620.46950762
923425,Costco Wholesale 001,4401 4th Ave S,,Seattle,WA,98134,2311,KING,Super Store,47.565395,-122.33032,,,-13617748.930978209,6034854.213452336
923426,Costco Wholesale 0006,400 Costco Dr Ste 150,,Tukwila,WA,98188,4808,KING,Super Store,47.445415,-122.2487,,,-13608663.034139663,6015082.618474649
923427,008 0008,8629 120th Ave NE,,Kirkland,WA,98033,5822,KING,Super Store,47.682327,-122.18068,,,-13601091.082375905,6054167.149455355
923439,Costco Wholesale 0061,35100 Enchanted Pkwy S,,Federal Way,WA,98003,8314,KING,Super Store,47.286968,-122.30989,,,-13615474.673781302,5989040.993483547
923444,Costco Wholesale 0106,1175 N 205th St,,Shoreline,WA,98133,3206,KING,Super Store,47.775024,-122.3449,,,-13619371.969153976,6069508.122425646
923445,Costco Wholesale 0110,1801 10th Ave NW,,Issaquah,WA,98027,5384,KING,Super Store,47.551308,-122.0528,,,-13586855.545893263,6032530.462614691
887042,SHARIF GROCERY & HALAL INC,8334 Rainier Ave S,Ste 101,Seattle,WA,98118,4680,KING,Other,47.528519,-122.26995,,,-13611028.57331902,6028772.577164146
934658,Zip Mart,10645 16th Ave SW,,Seattle,WA,98146,2077,KING,Convenience Store,47.507462,-122.35517,,,-13620515.220324423,6025301.748029436
1590370,Maple Valley Shell,21641 Renton Maple Valley Rd SE,,Maple Valley,WA,98038,8009,KING,Convenience Store,47.40728,-122.03873,,,-13585289.2806578,6008807.770958507
933996,Renton-Issaquah Shell,16300 SE Renton Issaquah Rd,,Renton,WA,98059,6224,KING,Convenience Store,47.500557,-122.12256,,,-13594621.193571,6024163.898805436
755937,MADRONA GROCERY OUTLET,1126 Martin Luther King Jr Way,,Seattle,WA,98122,5052,KING,Super Store,47.612347,-122.29552,,,-13613875.012698604,6042603.795620953
759310,Sam's Market,803 SW 312th St,,Federal Way,WA,98023,4526,KING,Convenience Store,47.322136,-122.34552,,,-13619440.987238266,5994814.296336062
1643523,Ashanti African Market And Hair Braiding,32700 Pacific Hwy S,Ste 11,Federal Way,WA,98003,6446,KING,Other,47.30851,-122.31284,,,-13615803.066279143,5992576.948332702
935341,Boeing Field Chevron,10805 E Marginal Way S,,Tukwila,WA,98168,1931,KING,Convenience Store,47.505981,-122.29089,,,-13613359.60345623,6025057.686948598
936877,Renton USA 111,765 Rainier Ave S,,Renton,WA,98057,3204,KING,Convenience Store,47.471687,-122.21835,,,-13605284.487594087,6019408.139198413
949743,Town Center Mini Mart,15410 Main St NE,,Duvall,WA,98019,8577,KING,Convenience Store,47.739521,-121.98572,,,-13579388.234450847,6063629.294927406
939995,Queen Anne Farmers Market,1 W Crockett St,,Seattle,WA,98119,2642,KING,Farmers and Markets,47.637089,-122.35702,,Washington State Department of Health ,-13620721.161382392,6046690.343589468
952271,AUBURN VALLEY CHEVRON,1156 Auburn Way S,,Auburn,WA,98002,6227,KING,Convenience Store,47.297413,-122.21783,,,-13605226.601458874,5990755.280588961
1625153,Lake City Shell,8721 Lake City Way NE,,Seattle,WA,98115,3287,KING,Convenience Store,47.691788,-122.3066,,,-13615108.432656595,6055731.6557947965
906519,Walgreens 12497,4105 NE 4th St,,Renton,WA,98059,5012,KING,Other,47.488552,-122.1637,,,-13599200.877422236,6022185.995795428
762367,QFC 878,23475 NE Novelty Hill Rd,,Redmond,WA,98053,5501,KING,Super Store,47.700001,-122.02596,,,-13583867.730760368,6057090.018342602
951984,Emanuel Shell In Lake Hills,1608 145th Pl SE,,Bellevue,WA,98007,6017,KING,Convenience Store,47.595978,-122.14934,,,-13597602.329534443,6039901.248824104
762889,EZ MART,21620 Marine View Dr S,,Des Moines,WA,98198,6154,KING,Convenience Store,47.408028,-122.32539,,,-13617200.125888597,6008930.805431562
1627334,Vashon Garlic,9603 SW 264th St,,Vashon,WA,98070,8460,KING,Farmers and Markets,47.366253,-122.45777,,,-13631936.600079812,6002062.13579904
760049,BARTELL DRUGS 56,2345 42nd Ave SW,,Seattle,WA,98116,2513,KING,Other,47.582191,-122.38565,,,-13623908.2384038,6037625.65000151
1589770,Ar Mercer Mini Mart,405 W Mercer St,,Seattle,WA,98119,3918,KING,Convenience Store,47.624359,-122.36226,,,-13621304.475514147,6044587.533277372
759968,BARTELL DRUGS 16,4706 42nd Ave SW,,Seattle,WA,98116,4500,KING,Other,47.560291,-122.38449,,,-13623779.107794482,6034012.200174954
1260061,Bartell Drugs 71,5625 22nd Ave NW,,Seattle,WA,98107,3119,KING,Other,47.670086,-122.3848,,,-13623813.616836626,6052143.352904523
843250,Bartell Drugs 67,1929 Queen Anne Ave N,,Seattle,WA,98109,2549,KING,Other,47.636894,-122.35731,,,-13620753.44403472,6046658.128570514
734054,Duanes Garden Patch,11215 8th Ave S,,Seattle,WA,98168,2101,KING,Other,47.502598,-122.32363,,,-13617004.203584803,6024500.212010013
1294176,Safeway 3613,34828 SE Douglas St,,Snoqualmie,WA,98065,9220,KING,Supermarket,47.527565,-121.87568,,Washington State Department of Health ,-13567138.637683954,6028615.299041521
954942,Seafood City Supermarket,1368 Southcenter Blvd,Ste 100,Tukwila,WA,98188,    ,KING,Supermarket,47.45977,-122.25636,,,-13609515.74143914,6017445.81172507
1040458,Walgreens 13770,17520 Avondale Rd NE,,Woodinville,WA,98077,    ,KING,Other,47.755489,-122.07966,,,-13589845.587415969,6066272.888302945
763453,Target Store T-0996,755 NW Gilman Blvd,,Issaquah,WA,98027,5357,KING,Super Store,47.543652,-122.04841,,,-13586366.853328679,6031267.812939957
763454,Target Store T-1118,13950 NE 178th Pl,,Woodinville,WA,98072,3523,KING,Super Store,47.758324,-122.15586,,,-13598328.132614415,6066742.323500358
1591356,Ballard Snack Shack,6759 15th Ave NW,,Seattle,WA,98117,5508,KING,Convenience Store,47.679356,-122.37708,,,-13622954.230367703,6053675.912327052
864009,Papa Murphy's WA-110,15858 1st Ave S,,Burien,WA,98148,1213,KING,Specialty Store,47.460484,-122.3315,,,-13617880.287977345,6017563.370886272
864010,Papa Murphy's WA-145,11202 16th Ave SW,,Seattle,WA,98146,3579,KING,Specialty Store,47.502529,-122.35514,,,-13620511.8807397,6024488.842070301
1297001,Arco Ampm 7044,13948 Ne 20th St,,Bellevue,WA,98005,2015,KING,Convenience Store,47.627941,-122.15427,,,-13598151.134624053,6045179.175645151
1297006,Arco Ampm 7059,13023 Ne 175th St,,Woodinville,WA,98072,8720,KING,Convenience Store,47.754494,-122.16603,,,-13599460.251835784,6066108.136687043
911184,QFC 883,4550 42nd Ave SW,,Seattle,WA,98116,4225,KING,Super Store,47.561432,-122.38479,,,-13623812.503641719,6034200.425255449
891962,Dollar Tree 3894,250 SW 152nd St,,Burien,WA,98166,2308,KING,Other,47.467777,-122.33887,,,-13618700.712624492,6018764.245196806
912947,Kennydale Shell Food Mart,1410 N 30th St,,Renton,WA,98056,2141,KING,Convenience Store,47.518478,-122.19951,,,-13603187.228387542,6027117.343566205
1638236,Fresh Del & Mart,209 Yale Ave N,,Seattle,WA,98109,5430,KING,Convenience Store,47.619888,-122.33067,,,-13617787.892799987,6043849.110809178
735306,Lucky One Food Store,6815 Rainier Ave S,,Seattle,WA,98118,3632,KING,Convenience Store,47.54105,-122.27186,,,-13611241.193546435,6030838.725557665
1382345,7-Eleven 27219C,2202 Auburn Way N,,Auburn,WA,98002,2820,KING,Convenience Store,47.326725,-122.22092,,,-13605570.578685425,5995567.926155058
1046412,Saar's Super Saver Foods 530,10616 16th Ave SW,,Seattle,WA,98146,2076,KING,Super Store,47.508488,-122.35506,,Washington State Department of Health ,-13620502.975180436,6025470.831519699
1648186,Wedgewood Chevron,7300 35th Ave NE,,Seattle,WA,98115,5919,KING,Convenience Store,47.681519,-122.2902,,,-13613282.793007584,6054033.548705436
1299003,Skyway Gasoline,11655 Renton Ave S,,Seattle,WA,98178,3045,KING,Convenience Store,47.497498,-122.2484,,,-13608629.638292426,6023659.865426643
1594080,Leschi Food Mart Inc,103 Lakeside Ave,,Seattle,WA,98122,6541,KING,Other,47.601875,-122.28569,,,-13612780.742104106,6040874.755045016
1590136,Kitchen & Market,2811 E Madison St,Ste B,Seattle,WA,98112,4868,KING,Grocery Store,47.623589,-122.29558,,,-13613881.691868052,6044460.356934821
1102231,Dollar Tree 5276,14158 NE Woodinville Duvall Rd,,Woodinville,WA,98072,    ,KING,Other,47.755863,-122.15075,,,-13597759.290016461,6066334.81585562
1441213,Twin Peaks Food And Gas,14500 468th Ave SE,,North Bend,WA,98045,8692,KING,Convenience Store,47.468243,-121.71539,,,-13549295.236504702,6018840.982990671
1575058,Abarrotes Pablo,3218 Rainier Ave S,,Seattle,WA,98144,6032,KING,Grocery Store,47.574436,-122.29466,,,-13613779.277936522,6036345.919959204
817337,Bartell Drugs 63,2345 Rainier Ave S,,Seattle,WA,98144,5348,KING,Other,47.581459,-122.3006,,,-13614440.515711835,6037504.847265151
